,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target
F463,0.201469433232272,0.426873643849087,0.444494454162652,0.495115840344301,0.598474814133518,0.553076599647863,0.404720259664385,0.497864686524656,0.664192627655676,0.251760822661566,-0.569081024185023
F988,0.176704068265611,0.381883536731078,0.685111519639972,0.505520129570319,0.6036732202995,0.652190922842503,0.473071445535991,0.390464617297241,0.737785453685694,0.326375420290356,-0.418770768148104
F1191,0.188981235887034,0.458323830550621,0.621839054459471,0.554353352882361,0.676748696852635,0.557019097181346,0.46750218252107,0.384914049624385,0.534463108633291,0.301877530805979,-0.770827845328223
F675,0.847899215397886,0.494089759969842,0.72624112060978,0.436823813362264,0.684405551736883,0.532207476605953,0.48825940959154,0.360675992914872,0.722264819553867,0.456726889649341,-2.04400214162425
F2837,0.265327640650897,0.45549638121029,0.478225154659201,0.522247320730892,0.471025207700285,0.682643647090813,0.402483155477151,0.611698635328916,0.758680095784302,0.361470837616354,-0.141468821332254
F194,0.441283063738506,0.72126651090596,0.565318323978447,0.671810886200509,0.52795582587994,0.373649228734433,0.493250907119856,0.439416859126237,0.61434585247695,0.346927868124965,0.453452170271286
F776,0.214975380626416,0.550251490087959,0.592158412888503,0.481951501888716,0.891983706168361,0.552076553391074,0.596278915586454,0.437930893959702,0.599388003496763,0.299760944532331,-0.150687372757443
F1518,0.75667877930731,0.495636793992254,0.537370852884561,0.372992452168356,0.725273344866801,0.356937744769516,0.527885151916322,0.697145912416918,0.70775257389939,0.310884052174544,-2.21328367637207
F2626,0.310100055486952,0.520782267222099,0.432702246101069,0.723226661217526,0.517866800142605,0.622068752874939,0.635154413730759,0.432786437613695,0.606737299771201,0.330601503525215,0.401858587432235
F3060,0.334281438402872,0.584461531108878,0.699247103096834,0.446065604067193,0.559418198658699,0.294756406198552,0.437556224536172,0.559502398353355,0.663824437859702,0.380769191591869,1.19179733189923
F2369,0.289464458573876,0.506309660539049,0.654211871495396,0.47763601670786,0.464848310066901,0.495860613920442,0.521607384880572,0.460421549403884,0.682307991993366,0.363498481371173,0.239605633391164
F13,0.219699515465314,0.456869262949576,0.43748759000441,0.494562720519763,0.616619535125352,0.703269658379403,0.429831062334902,0.588317344787111,0.497470557687632,0.309264299804664,1.34017894916658
F2007,0.398915283501215,0.535014158523032,0.281670321972719,0.554743068519545,0.488354969150301,0.595105902762873,0.392267335265561,0.562936071856857,0.751119429557395,0.45018264609002,1.54681908956204
F1301,0.411821445544245,0.673372825200508,0.392015230587668,0.673710983660004,0.604857074984225,0.534084348683464,0.522201907414062,0.511244331046574,0.736432927163146,0.644436366199897,-0.907911274189814
F1763,0.249581992371428,0.550730563812718,0.510421026555589,0.422741092124913,0.63651511452005,0.609880902535572,0.475327193347283,0.357948251035619,0.788374556584224,0.292431047743407,0.537099780887486
F1278,0.428794216342135,0.60008689420927,0.758766152075571,0.69918954958368,0.572320425966332,0.421355498010763,0.261175076861354,0.250310534135991,0.429103288138639,0.595341220092181,-0.355092814627411
F1040,0.173498901205566,0.476675657250637,0.411833820943993,0.619051678537567,0.609604338452474,0.508688944911719,0.481946175891339,0.272938021095719,0.626522297250766,0.387286927471054,0.616658576489803
F1977,0.329890825659302,0.612931050020242,0.567112913112493,0.598558749772135,0.57737715871844,0.545953486841888,0.473449462543058,0.595182497768262,0.566169062666846,0.344914408407534,0.0506356540279237
F1718,0.333648023196526,0.475184675913036,0.560982651741775,0.540474647858529,0.426170837438279,0.524865080200054,0.489436245259396,0.677922904345189,0.536970565571808,0.364909064504951,-0.247700716181966
F1696,0.247626911558411,0.496173723969344,0.508637466666746,0.501447480938157,0.569412115377328,0.595515184881675,0.470474260882999,0.51187499584585,0.581984802777135,0.331545350025819,1.42928074641353
F2284,0.263451736265135,0.546351386736513,0.647310444583125,0.513973385096042,0.582918924467855,0.547381369401136,0.39161398093201,0.389103101090346,0.649887421571247,0.412055387319257,-0.357494699528951
F1457,0.308593406407162,0.574481979247645,0.576896101407226,0.467868066466375,0.600259345817091,0.352258229067432,0.441523535065293,0.48854019230228,0.658820627375157,0.288090152976022,-0.396654552391526
F2272,0.345278785003697,0.557158949228841,0.557378728569379,0.511009810115058,0.577731470079029,0.466409991341289,0.373620473179551,0.564859352517402,0.50378184753545,0.305485838296124,-0.686167212140288
F1291,0.655220134881826,0.422599804443616,0.560236171781771,0.514311462952566,0.450667578279164,0.619010126300841,0.470274233353465,0.277015179334371,0.523976212499838,0.287289872719398,-1.43791466946999
F1377,0.806323650399634,0.37494769183759,0.461122576894625,0.283221995242153,0.708586855521651,0.526543532843491,0.654853292684884,0.300292937942233,0.781510224466654,0.423628658425348,0.251331298169621
F1503,0.274930484448712,0.621495543359263,0.658387458852775,0.520356530066646,0.545619838755518,0.645838125631785,0.621952999011156,0.492822209945845,0.690215129770071,0.463198529892598,0.743059608475475
F2009,0.402307287214397,0.783076264904899,0.461885748683129,0.495941395768507,0.6130660662335,0.51625343788499,0.41565185647878,0.608432645940324,0.600811890971489,0.256141198505951,-0.35560979051804
F2353,0.205093711167238,0.584936659573886,0.346422131594745,0.467875214225688,0.641302553386187,0.585528011122434,0.423055599613489,0.338529173317063,0.583956358891268,0.352787117937042,0.830625757991142
F198,0.164843610696433,0.386716415772161,0.607568505624509,0.542366652663139,0.726661909140288,0.417661171131916,0.475704730496129,0.524045882971081,0.513488620447213,0.353623750068076,0.0612419872172036
F108,0.236036672258276,0.618261096508545,0.529735258972658,0.474182571602777,0.675638788246528,0.481975397427374,0.422072623074933,0.37687959492007,0.624633677494433,0.407588629700026,-0.87079462653237
F2602,0.249964500466698,0.662974830322275,0.626832332141685,0.403346990181178,0.314422448287658,0.27008406150225,0.563069800622452,0.537738574251476,0.714264713476285,0.290061996309055,-1.00902369675675
F1329,0.22858207089851,0.620935343432216,0.705352391637086,0.40440128120718,0.710588977125966,0.56347248674396,0.484328192224383,0.422150038092563,0.570943415506389,0.249553748817556,1.00939743045792
F1120,0.23326688101699,0.609669747166253,0.533583176091307,0.418645323519416,0.564083102771427,0.703512696946219,0.295954448286027,0.368157985734128,0.710694987738521,0.377742210316759,-1.18153176798036
F1114,0.386094633443699,0.698017345144538,0.57141203612513,0.560389531871463,0.665600264638409,0.627267039923585,0.378609145145667,0.458004746950031,0.660757223772137,0.512041460612173,-1.62229886578035
